time,heartrate,watts,temperature,interval
2475,151,126,varm,NA
2476,151,127,varm,NA
2477,151,126,varm,NA
2478,151,113,varm,NA
2479,151,120,varm,NA
2480,151,121,varm,NA
2481,151,123,varm,NA
2482,152,123,varm,NA
2483,154,120,varm,NA
2484,154,122,varm,NA
2485,154,124,varm,NA
2486,154,125,varm,NA
2487,154,118,varm,NA
2488,151,121,varm,NA
2489,151,125,varm,NA
2490,149,126,varm,NA
2491,148,127,varm,5
2492,148,156,varm,5
2493,148,171,varm,5
2494,147,279,varm,5
2495,147,231,varm,5
2496,147,252,varm,5
2497,147,275,varm,5
2498,149,267,varm,5
2499,150,245,varm,5
2500,151,239,varm,5
2501,152,224,varm,5
2502,152,215,varm,5
2503,151,208,varm,5
2504,151,220,varm,5
2505,151,218,varm,5
2506,151,225,varm,5
2507,152,229,varm,5
2508,152,233,varm,5
2509,152,246,varm,5
2510,152,264,varm,5
2511,153,244,varm,5
2512,153,228,varm,5
2513,153,225,varm,5
2514,154,222,varm,5
2515,154,251,varm,5
2516,154,244,varm,5
2517,155,243,varm,5
2518,155,242,varm,5
2519,155,245,varm,5
2520,156,239,varm,5
2521,156,244,varm,5
2522,157,247,varm,5
2523,157,254,varm,5
2524,158,240,varm,5
2525,158,240,varm,5
2526,160,230,varm,5
2527,160,225,varm,5
2528,159,238,varm,5
2529,161,247,varm,5
2530,161,242,varm,5
2531,161,244,varm,5
2532,162,240,varm,5
2533,163,226,varm,5
2534,163,226,varm,5
2535,163,224,varm,5
2536,163,245,varm,5
2537,164,254,varm,5
2538,164,245,varm,5
2539,165,246,varm,5
2540,165,241,varm,5
2541,165,240,varm,5
2542,166,231,varm,5
2543,166,233,varm,5
2544,166,234,varm,5
2545,166,236,varm,5
2546,167,239,varm,5
2547,167,240,varm,5
2548,167,247,varm,5
2549,168,243,varm,5
2550,168,236,varm,5
2551,168,235,varm,5
2552,169,246,varm,5
2553,169,253,varm,5
2554,169,254,varm,5
2555,169,264,varm,5
2556,169,241,varm,5
2557,169,231,varm,5
2558,170,229,varm,5
2559,170,224,varm,5
2560,170,234,varm,5
2561,170,234,varm,5
2562,171,245,varm,5
2563,171,260,varm,5
2564,171,255,varm,5
2565,170,231,varm,5
2566,170,231,varm,5
2567,170,228,varm,5
2568,170,234,varm,5
2569,170,233,varm,5
2570,170,237,varm,5
2571,171,239,varm,5
2572,171,238,varm,5
2573,171,239,varm,5
2574,171,235,varm,5
2575,171,228,varm,5
2576,171,231,varm,5
2577,171,232,varm,5
2578,171,230,varm,5
2579,172,235,varm,5
2580,172,235,varm,5
2581,172,240,varm,5
2582,173,233,varm,5
2583,172,231,varm,5
2584,173,233,varm,5
2585,173,238,varm,5
2586,173,240,varm,5
2587,173,243,varm,5
2588,174,239,varm,5
2589,173,241,varm,5
2590,173,234,varm,5
2591,174,234,varm,5
2592,174,234,varm,5
2593,174,234,varm,5
2594,174,242,varm,5
2595,174,241,varm,5
2596,174,236,varm,5
2597,173,243,varm,5
2598,173,244,varm,5
2599,173,244,varm,5
2600,173,248,varm,5
2601,173,254,varm,5
2602,174,229,varm,5
